keyword,cluster,intent,business_relevance,existing_url,proposed_url,semrush_volume,semrush_kd,semrush_cpc,competitive_density,serp_review,local_intent,opportunity_status,evidence_date,notes
polycab wire dealer delhi,Polycab wires dealer,commercial,/category/wires-cables,/polycab-wires-delhi,unavailable,unavailable,unavailable,unavailable,live Google SERP observed,high,provisional — validate in Keyword Magic,2026-08-28,"SERP includes specialist Polycab distributors; do not launch until Semrush metrics and inventory coverage are verified."
havells dealer delhi,Havells dealer,commercial,/brand/havells,/havells-dealer-delhi,unavailable,unavailable,unavailable,unavailable,live Google SERP observed,high,provisional — optimise existing brand page first,2026-08-28,"Existing /brand/havells is the first URL to strengthen; authorisation claim must be supported."
finolex wire dealer delhi,Finolex wires dealer,commercial,/category/wires-cables,/finolex-wires-delhi,unavailable,unavailable,unavailable,unavailable,not yet reviewed,high,provisional — validate in Keyword Magic,2026-08-28,"Use only if the active catalogue has meaningful Finolex wire depth."
lauritz knudsen dealer delhi,Lauritz Knudsen dealer,commercial,/brand/lauritz-knudsen,/lauritz-knudsen-dealer-delhi,unavailable,unavailable,unavailable,unavailable,live Google SERP observed,high,provisional — optimise existing brand page first,2026-08-28,"SERP competitors visibly use Lauritz Knudsen switchgear terminology."
anchor switches dealer delhi,Anchor switches dealer,commercial,/brand/anchor,/anchor-switches-delhi,unavailable,unavailable,unavailable,unavailable,not yet reviewed,high,provisional — validate in Keyword Magic,2026-08-28,"Do not use standalone URL if its intent merges with Anchor brand page."
modular switches delhi,Modular switches,commercial,/category/switches-sockets,/modular-switches-delhi,unavailable,unavailable,unavailable,unavailable,not yet reviewed,high,provisional — optimise category first,2026-08-28,"Category route already exists and should be the canonical cluster target unless SERP shows a distinct local/dealer intent."
MCB dealer delhi,MCB dealer,commercial,/category/circuit-protection,/mcb-dealer-delhi,unavailable,unavailable,unavailable,unavailable,live Google SERP observed,high,provisional — optimise category first,2026-08-28,"Specialist suppliers and manufacturers appear in the observed SERP; needs demand/KD validation."
RCCB dealer delhi,RCCB dealer,commercial,/category/circuit-protection,/rccb-dealer-delhi,unavailable,unavailable,unavailable,unavailable,not yet reviewed,high,provisional — optimise category first,2026-08-28,"Create only if product depth and query demand are verified."
electrical wire supplier delhi,Electrical wires supplier,commercial,/category/wires-cables,/electrical-wires-supplier-delhi,unavailable,unavailable,unavailable,unavailable,live Google SERP observed,high,provisional — validate in Keyword Magic,2026-08-28,"Observed SERP has distributor and directory results."
electrical shop south delhi,Local electrical shop,commercial,/,/electrical-shop-south-delhi,unavailable,unavailable,unavailable,unavailable,not yet reviewed,high,provisional — validate local intent,2026-08-28,"Only justified if local-pack/organic results and service coverage are confirmed; existing Malviya Nagar address supports a useful local section, not a doorway page."
best modular switches for home,Switch selection,informational,/category/switches-sockets,/guides/how-to-choose-modular-switches,unavailable,unavailable,unavailable,unavailable,not yet reviewed,low,provisional — validate in Keyword Magic Questions,2026-08-28,"Editorial guide should link to the switches category and WhatsApp selection help."
MCB vs RCCB,Electrical safety education,informational,/category/circuit-protection,/guides/mcb-vs-rccb,unavailable,unavailable,unavailable,unavailable,not yet reviewed,low,provisional — validate in Keyword Magic Questions,2026-08-28,"Use qualified electrician-review language; do not give unsafe installation instructions."
wire size for home wiring,Wire selection,informational,/category/wires-cables,/guides/house-wiring-wire-size,unavailable,unavailable,unavailable,unavailable,not yet reviewed,low,provisional — validate in Keyword Magic Questions,2026-08-28,"Route enquiry to a qualified electrician / selection support."
